Time:128Hz,Epoch,AF3,Event Id,Event Date,Event Duration
402.8281250000,1611,4110.1284179688,,,
402.8359375000,1611,4111.7949218750,,,
402.8437500000,1611,4112.8203125000,,,
402.8515625000,1611,4113.2050781250,,,
402.8593750000,1611,4112.0512695313,,,
402.8671875000,1611,4108.9741210938,,,
402.8750000000,1611,4105.7690429688,,,
402.8828125000,1611,4105.1284179688,,,
402.8906250000,1611,4107.4360351563,,,
402.8984375000,1611,4110.3847656250,33024,402.8994140625,0.0000000000
402.9062500000,1611,4110.7690429688,,,
402.9140625000,1611,4108.2050781250,,,
402.9218750000,1611,4104.6152343750,,,
402.9296875000,1611,4102.4360351563,,,
402.9375000000,1611,4101.5385742188,,,
402.9453125000,1611,4100.5126953125,,,
402.9531250000,1611,4099.2309570313,,,
402.9609375000,1611,4099.3588867188,,,
402.9687500000,1611,4101.2822265625,,,
402.9765625000,1611,4102.8203125000,,,
402.9843750000,1611,4102.0512695313,,,
402.9921875000,1611,4099.3588867188,,,
403.0000000000,1612,4098.2050781250,,,
403.0078125000,1612,4100.5126953125,,,
403.0156250000,1612,4105.1284179688,,,
403.0234375000,1612,4108.8461914063,,,
403.0312500000,1612,4110.1284179688,,,
403.0390625000,1612,4111.0258789063,,,
403.0468750000,1612,4113.9741210938,,,
403.0546875000,1612,4118.2050781250,,,
403.0625000000,1612,4120.8974609375,,,
403.0703125000,1612,4120.5126953125,,,
403.0781250000,1612,4118.4614257813,,,
403.0859375000,1612,4117.8203125000,,,
403.0937500000,1612,4118.9741210938,,,
403.1015625000,1612,4120.0000000000,,,
403.1093750000,1612,4119.3588867188,,,
403.1171875000,1612,4118.0771484375,,,
403.1250000000,1612,4118.5898437500,,,
403.1328125000,1612,4120.6411132813,,,
403.1406250000,1612,4121.9228515625,,,
403.1484375000,1612,4120.8974609375,,,
403.1562500000,1612,4118.3334960938,,,
403.1640625000,1612,4117.3076171875,,,
403.1718750000,1612,4119.1025390625,,,
403.1796875000,1612,4122.0512695313,,,
403.1875000000,1612,4123.5898437500,,,
403.1953125000,1612,4122.9487304688,33024,403.1992187500,0.0000000000
403.2031250000,1612,4122.0512695313,,,
403.2109375000,1612,4122.5639648438,,,
403.2187500000,1612,4124.6152343750,,,
403.2265625000,1612,4126.9228515625,,,
403.2343750000,1612,4128.9741210938,,,
403.2421875000,1612,4131.0258789063,,,
403.2500000000,1613,4133.7177734375,,,
403.2578125000,1613,4136.6665039063,,,
403.2656250000,1613,4139.4873046875,,,
403.2734375000,1613,4142.6923828125,,,
403.2812500000,1613,4147.5639648438,,,
403.2890625000,1613,4154.3588867188,,,
403.2968750000,1613,4161.0258789063,,,
403.3046875000,1613,4164.6152343750,,,
403.3125000000,1613,4164.7436523438,,,
403.3203125000,1613,4163.5898437500,,,
403.3281250000,1613,4164.8715820313,,,
403.3359375000,1613,4169.7436523438,,,
403.3437500000,1613,4176.2822265625,,,
403.3515625000,1613,4180.2563476563,,,
403.3593750000,1613,4178.8461914063,,,
403.3671875000,1613,4171.1538085938,,,
403.3750000000,1613,4158.5898437500,,,
403.3828125000,1613,4144.2309570313,,,
403.3906250000,1613,4131.6665039063,,,
403.3984375000,1613,4124.2309570313,,,
403.4062500000,1613,4121.7949218750,,,
403.4140625000,1613,4121.0258789063,,,
403.4218750000,1613,4117.8203125000,,,
403.4296875000,1613,4111.5385742188,,,
403.4375000000,1613,4105.2563476563,,,
403.4453125000,1613,4101.9228515625,,,
403.4531250000,1613,4100.3847656250,,,
403.4609375000,1613,4096.9228515625,,,
403.4687500000,1613,4089.3588867188,,,
403.4765625000,1613,4080.2563476563,,,
403.4843750000,1613,4073.7180175781,,,
403.4921875000,1613,4071.2819824219,33024,403.4990234375,0.0000000000
403.5000000000,1614,4071.0256347656,,,
403.5078125000,1614,4069.8718261719,,,
403.5156250000,1614,4067.1794433594,,,
403.5234375000,1614,4062.9487304688,,,
403.5312500000,1614,4057.8205566406,,,
403.5390625000,1614,4053.2050781250,,,
403.5468750000,1614,4052.5642089844,,,
403.5546875000,1614,4059.2307128906,,,
403.5625000000,1614,4071.9230957031,,,
403.5703125000,1614,4084.3588867188,,,
403.5781250000,1614,4089.4870605469,,,
403.5859375000,1614,4086.9230957031,,,
403.5937500000,1614,4082.4357910156,,,
403.6015625000,1614,4082.5642089844,,,
403.6093750000,1614,4087.8205566406,,,
403.6171875000,1614,4093.4614257813,,,
403.6250000000,1614,4095.0000000000,,,
403.6328125000,1614,4092.8205566406,,,
403.6406250000,1614,4090.2563476563,,,
403.6484375000,1614,4089.4870605469,,,
403.6562500000,1614,4089.4870605469,,,
403.6640625000,1614,4088.5898437500,,,
403.6718750000,1614,4087.5642089844,,,
403.6796875000,1614,4087.8205566406,,,
403.6875000000,1614,4089.3588867188,,,
403.6953125000,1614,4090.1281738281,,,
403.7031250000,1614,4088.9743652344,,,
403.7109375000,1614,4087.1794433594,,,
403.7187500000,1614,4087.0512695313,,,
403.7265625000,1614,4088.7180175781,,,
403.7343750000,1614,4089.8718261719,,,
403.7421875000,1614,4088.8461914063,,,
403.7500000000,1615,4086.2819824219,,,
403.7578125000,1615,4085.0000000000,,,
403.7656250000,1615,4085.7692871094,,,
403.7734375000,1615,4086.7949218750,,,
403.7812500000,1615,4086.1538085938,,,
403.7890625000,1615,4084.6154785156,,,
403.7968750000,1615,4084.4870605469,33024,403.7998046875,0.0000000000
403.8046875000,1615,4086.4101562500,,,
403.8125000000,1615,4088.3332519531,,,
403.8203125000,1615,4088.5898437500,,,
403.8281250000,1615,4087.9487304688,,,
403.8359375000,1615,4088.0769042969,,,
403.8437500000,1615,4088.9743652344,,,
403.8515625000,1615,4088.2050781250,,,
403.8593750000,1615,4084.7436523438,,,
403.8671875000,1615,4080.6411132813,,,
403.8750000000,1615,4079.7436523438,,,
403.8828125000,1615,4082.9487304688,,,
403.8906250000,1615,4087.0512695313,,,
403.8984375000,1615,4088.8461914063,,,
403.9062500000,1615,4088.3332519531,,,
403.9140625000,1615,4088.0769042969,,,
403.9218750000,1615,4089.3588867188,,,
403.9296875000,1615,4090.2563476563,,,
403.9375000000,1615,4088.5898437500,,,
403.9453125000,1615,4085.0000000000,,,
403.9531250000,1615,4083.2050781250,,,
403.9609375000,1615,4084.8718261719,,,
403.9687500000,1615,4088.3332519531,,,
403.9765625000,1615,4090.2563476563,,,
403.9843750000,1615,4089.4870605469,,,
403.9921875000,1615,4087.8205566406,,,
404.0000000000,1616,4087.9487304688,,,
404.0078125000,1616,4089.8718261719,,,
404.0156250000,1616,4091.7949218750,,,
404.0234375000,1616,4092.5642089844,,,
404.0312500000,1616,4092.8205566406,,,
404.0390625000,1616,4093.4614257813,,,
404.0468750000,1616,4093.4614257813,,,
