Time:64Hz,Epoch,AF3,Event Id,Event Date,Event Duration
34.2187500000,136,2.4273433277,,,
34.2343750000,136,-1.2730345376,,,
34.2500000000,137,-0.3039260722,,,
34.2656250000,137,0.7392752920,,,
34.2812500000,137,1.6887899541,,,
34.2968750000,137,2.0888262526,,,
34.3125000000,137,-1.3274255294,,,
34.3281250000,137,2.7912337640,,,
34.3437500000,137,4.8995585267,,,
34.3593750000,137,-0.9510433756,,,
34.3750000000,137,-0.8926238589,,,
34.3906250000,137,0.1242581568,,,
34.4062500000,137,-2.4010810120,,,
34.4218750000,137,-4.6448994061,,,
34.4375000000,137,-2.7184598689,,,
34.4531250000,137,0.5404390375,,,
34.4687500000,137,-0.3706607467,,,
34.4843750000,137,1.1780530028,33024,34.4990234375,0.0000000000
34.5000000000,138,0.9454760862,,,
34.5156250000,138,-1.6314499866,,,
34.5312500000,138,0.3003734272,,,
34.5468750000,138,0.5011548483,,,
34.5625000000,138,1.6662598368,,,
34.5781250000,138,1.3406650540,,,
34.5937500000,138,-1.8374763928,,,
34.6093750000,138,-0.1891066058,,,
34.6250000000,138,-1.9516922886,,,
34.6406250000,138,-3.1752312333,,,
34.6562500000,138,0.9864204744,,,
34.6718750000,138,3.0060272520,,,
34.6875000000,138,4.5430599298,,,
34.7031250000,138,2.9217290925,,,
34.7187500000,138,1.5365924665,,,
34.7343750000,138,1.6236867657,,,
34.7500000000,139,-2.0620300768,,,
34.7656250000,139,-2.9355734347,,,
34.7812500000,139,-1.5176116832,,,
34.7968750000,139,1.1175067622,33024,34.7998046875,0.0000000000
34.8125000000,139,1.3642766239,,,
34.8281250000,139,-4.0204655991,,,
34.8437500000,139,-3.3074819851,,,
34.8593750000,139,-0.2587737570,,,
34.8750000000,139,-0.4180538068,,,
34.8906250000,139,-0.2805870476,,,
34.9062500000,139,-1.6339458227,,,
34.9218750000,139,0.5944737845,,,
34.9375000000,139,1.8899689155,,,
34.9531250000,139,-1.0454758422,,,
34.9687500000,139,-0.8979080716,,,
34.9843750000,139,1.2966644806,,,
35.0000000000,140,3.6801175434,,,
35.0156250000,140,-0.5718216576,,,
35.0312500000,140,-5.1419646021,,,
35.0468750000,140,-1.0400854172,,,
35.0625000000,140,-0.0275303192,,,
35.0781250000,140,0.2775555411,,,
35.0937500000,140,0.7079377263,33024,35.0996093750,0.0000000000
35.1093750000,140,-1.9863198979,,,
35.1250000000,140,0.9149079345,,,
35.1406250000,140,2.7586729618,,,
35.1562500000,140,0.9190779833,,,
35.1718750000,140,0.7803421837,,,
35.1875000000,140,2.2570165827,,,
35.2031250000,140,4.0545281651,,,
35.2187500000,140,0.9803601978,,,
35.2343750000,140,-0.5828136989,,,
35.2500000000,141,-0.2736517210,,,
35.2656250000,141,-3.4140585675,,,
35.2812500000,141,-2.5558871377,,,
35.2968750000,141,-1.1738869482,,,
35.3125000000,141,0.6337248614,,,
35.3281250000,141,3.2484824207,,,
35.3437500000,141,0.7849312243,,,
35.3593750000,141,1.0929888264,,,
35.3750000000,141,1.0862539558,,,
35.3906250000,141,-0.3692196493,33024,35.3994140625,0.0000000000
35.4062500000,141,1.9221262251,,,
35.4218750000,141,0.9160019620,,,
35.4375000000,141,-0.5562337036,,,
35.4531250000,141,-1.6269537527,,,
35.4687500000,141,-2.0198674188,,,
35.4843750000,141,-0.5962211740,,,
35.5000000000,142,-2.4452692391,,,
35.5156250000,142,-0.1125393589,,,
35.5312500000,142,2.4041387264,,,
35.5468750000,142,-0.8942317612,,,
35.5625000000,142,-1.7585218190,,,
35.5781250000,142,-2.1382119389,,,
35.5937500000,142,-1.3903568655,,,
35.6093750000,142,-1.2876345010,,,
35.6250000000,142,-1.8140248364,,,
35.6406250000,142,1.5779886676,,,
35.6562500000,142,-0.2746581436,,,
35.6718750000,142,-1.8521340672,,,
35.6875000000,142,2.5926947121,33024,35.6992187500,0.0000000000
35.7031250000,142,4.6853134605,,,
35.7187500000,142,4.1167001915,,,
35.7343750000,142,-0.6947802723,,,
35.7500000000,143,-3.5040748354,,,
35.7656250000,143,-0.5965930354,,,
35.7812500000,143,2.4822217345,,,
35.7968750000,143,3.7710422471,,,
35.8125000000,143,-1.3034529431,,,
35.8281250000,143,-2.7921608656,,,
35.8437500000,143,1.8072182012,,,
35.8593750000,143,0.2962224487,,,
35.8750000000,143,-1.7505932503,,,
35.8906250000,143,-2.6726052351,,,
35.9062500000,143,-1.8652566422,,,
35.9218750000,143,0.9372983947,,,
35.9375000000,143,-1.1736440194,,,
35.9531250000,143,-1.4704869869,,,
35.9687500000,143,-0.4997980123,,,
35.9843750000,143,0.2305212148,33024,35.9990234375,0.0000000000
36.0000000000,144,2.8885282869,,,
36.0156250000,144,0.5059888622,,,
36.0312500000,144,-0.2919812383,,,
36.0468750000,144,1.6343882123,,,
36.0625000000,144,1.0336754805,,,
36.0781250000,144,0.7783354698,,,
36.0937500000,144,-1.0079723869,,,
36.1093750000,144,-0.6278661883,,,
36.1250000000,144,-0.2848881551,,,
36.1406250000,144,-1.2127557294,,,
36.1562500000,144,1.9921093696,,,
36.1718750000,144,1.7908410870,,,
36.1875000000,144,0.0718176073,,,
36.2031250000,144,-0.6400588910,,,
36.2187500000,144,-1.7157408760,,,
36.2343750000,144,1.2093368670,,,
36.2500000000,145,0.3857125396,,,
36.2656250000,145,-1.5856553005,,,
36.2812500000,145,-0.4355789833,,,
36.2968750000,145,-1.2623975231,33024,36.2998046875,0.0000000000
36.3125000000,145,-0.0741699736,,,
36.3281250000,145,-0.4799871313,,,
36.3437500000,145,-0.7045346518,,,
36.3593750000,145,1.4474115191,,,
36.3750000000,145,-1.1136529689,,,
36.3906250000,145,-2.1275840102,,,
36.4062500000,145,-1.2460668413,,,
36.4218750000,145,-0.0612965561,,,
36.4375000000,145,1.5974245604,,,
36.4531250000,145,-0.8283592009,,,
36.4687500000,145,-0.0177460041,,,
36.4843750000,145,3.0902980339,,,
36.5000000000,146,3.9611529603,,,
36.5156250000,146,2.3463703754,,,
36.5312500000,146,-1.9898097807,,,
36.5468750000,146,0.7981161315,,,
36.5625000000,146,2.6500197057,,,
36.5781250000,146,-2.3727000381,,,
36.5937500000,146,-2.4401473785,33024,36.5996093750,0.0000000000
36.6093750000,146,0.3545610913,,,
36.6250000000,146,4.4346959247,,,
36.6406250000,146,3.6995926598,,,
36.6562500000,146,-2.6272279828,,,
36.6718750000,146,-1.4979005981,,,
36.6875000000,146,0.6679347876,,,
36.7031250000,146,-0.6165402011,,,
36.7187500000,146,-2.3435694299,,,
36.7343750000,146,-3.6711886804,,,
36.7500000000,147,-0.7654431338,,,
36.7656250000,147,-0.0462215800,,,
36.7812500000,147,-0.9489505290,,,
36.7968750000,147,-0.4746451895,,,
36.8125000000,147,0.8983920667,,,
36.8281250000,147,5.1430190419,,,
36.8437500000,147,3.0601905893,,,
36.8593750000,147,-0.1895367610,,,
36.8750000000,147,0.6537964316,,,
36.8906250000,147,-1.9630424743,33024,36.8994140625,0.0000000000
36.9062500000,147,-1.1327421103,,,
36.9218750000,147,0.2193808087,,,
36.9375000000,147,-2.3552922185,,,
36.9531250000,147,-2.8264860639,,,
36.9687500000,147,-1.2803695458,,,
36.9843750000,147,1.5430486057,,,
37.0000000000,148,-0.2371927121,,,
37.0156250000,148,-1.1551509869,,,
37.0312500000,148,3.0073802533,,,
37.0468750000,148,0.8272188332,,,
37.0625000000,148,-1.3466171288,,,
37.0781250000,148,-0.7927841800,,,
37.0937500000,148,-0.8122139941,,,
37.1093750000,148,3.2044506105,,,
37.1250000000,148,4.0569592701,,,
37.1406250000,148,2.1859470048,,,
37.1562500000,148,0.4974953318,,,
37.1718750000,148,-1.4964597169,,,
37.1875000000,148,-1.1502269748,33024,37.1992187500,0.0000000000
