Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.1562500000,0,3170.6411132813,3167.5642089844,3160.0000000000,3168.5898437500,3162.8205566406,3158.3332519531,3155.6411132813,3157.6923828125,3164.1025390625,3171.0256347656,3225.3845214844,4136.2822265625,3175.6411132813,3180.8974609375,,,
0.1640625000,0,3165.5129394531,3162.4357910156,3176.2819824219,3179.6154785156,3166.2819824219,3162.4357910156,3156.0256347656,3157.6923828125,3161.7949218750,3169.6154785156,3223.4614257813,4142.8203125000,3162.4357910156,3166.9230957031,,,
0.1718750000,0,3172.5642089844,3167.6923828125,3163.0769042969,3176.6667480469,3165.8974609375,3163.8461914063,3156.7949218750,3158.3332519531,3162.1794433594,3173.3332519531,3223.2050781250,4139.8715820313,3172.0512695313,3181.5385742188,,,
0.1796875000,0,3171.4101562500,3164.6154785156,3169.1025390625,3175.1281738281,3165.3845214844,3160.2563476563,3158.0769042969,3160.0000000000,3162.4357910156,3172.8205566406,3226.9230957031,4138.2050781250,3166.0256347656,3177.3076171875,,,
0.1875000000,0,3172.8205566406,3166.2819824219,3173.5898437500,3178.4614257813,3165.6411132813,3165.6411132813,3159.1025390625,3161.0256347656,3161.4101562500,3171.2819824219,3230.7692871094,4139.6152343750,3159.6154785156,3170.3845214844,,,
0.1953125000,0,3175.7692871094,3172.0512695313,3165.5129394531,3176.4101562500,3165.0000000000,3168.9743652344,3158.0769042969,3161.2819824219,3162.3076171875,3173.7180175781,3231.5385742188,4138.5898437500,3175.1281738281,3183.8461914063,,,
0.2031250000,0,3170.6411132813,3170.5129394531,3184.3588867188,3181.1538085938,3169.4870605469,3167.3076171875,3162.3076171875,3162.5642089844,3165.8974609375,3173.5898437500,3229.1025390625,4141.4101562500,3161.9230957031,3172.0512695313,,,
0.2109375000,0,3176.0256347656,3177.9487304688,3169.6154785156,3177.5642089844,3168.5898437500,3166.6667480469,3162.9487304688,3165.8974609375,3167.8205566406,3175.5129394531,3231.7949218750,4141.7949218750,3174.3588867188,3180.1281738281,,,
0.2187500000,0,3171.2819824219,3175.1281738281,3169.3588867188,3176.4101562500,3168.5898437500,3165.2563476563,3161.5385742188,3165.1281738281,3165.5129394531,3176.0256347656,3232.1794433594,4142.3076171875,3173.8461914063,3177.8205566406,,,
0.2265625000,0,3170.3845214844,3173.4614257813,3179.3588867188,3180.5129394531,3171.6667480469,3168.5898437500,3164.1025390625,3165.5129394531,3168.7180175781,3174.4870605469,3231.4101562500,4141.9228515625,3164.8718261719,3175.7692871094,,,
0.2343750000,0,3176.4101562500,3177.4357910156,3170.8974609375,3179.2307128906,3169.2307128906,3171.5385742188,3163.0769042969,3166.9230957031,3171.9230957031,3180.1281738281,3234.8718261719,4141.2822265625,3182.4357910156,3190.7692871094,,,
0.2421875000,0,3173.7180175781,3174.4870605469,3186.0256347656,3182.9487304688,3171.9230957031,3170.6411132813,3164.4870605469,3165.1281738281,3167.8205566406,3181.4101562500,3234.4870605469,4145.8974609375,3167.5642089844,3174.4870605469,,,
0.2500000000,1,3181.4101562500,3179.4870605469,3173.3332519531,3179.2307128906,3175.6411132813,3172.1794433594,3168.4614257813,3163.2050781250,3170.5129394531,3178.0769042969,3234.6154785156,4146.2822265625,3176.1538085938,3184.3588867188,,,
0.2578125000,1,3181.2819824219,3177.9487304688,3175.2563476563,3181.5385742188,3176.5385742188,3173.2050781250,3167.1794433594,3165.6411132813,3174.8718261719,3181.4101562500,3234.7436523438,4146.4101562500,3180.8974609375,3188.8461914063,,,
0.2656250000,1,3180.0000000000,3177.6923828125,3185.8974609375,3189.8718261719,3177.6923828125,3172.1794433594,3166.4101562500,3172.3076171875,3174.2307128906,3182.5642089844,3235.7692871094,4146.4101562500,3168.9743652344,3180.0000000000,,,
0.2734375000,1,3183.3332519531,3181.6667480469,3170.2563476563,3187.0512695313,3176.1538085938,3171.1538085938,3166.4101562500,3173.2050781250,3175.6411132813,3177.8205566406,3240.3845214844,4147.4360351563,3185.3845214844,3192.9487304688,,,
0.2812500000,1,3179.3588867188,3177.0512695313,3187.3076171875,3189.8718261719,3180.3845214844,3176.2819824219,3170.0000000000,3171.2819824219,3176.6667480469,3181.1538085938,3237.4357910156,4150.7690429688,3172.8205566406,3179.8718261719,,,
0.2890625000,1,3186.5385742188,3181.4101562500,3180.7692871094,3187.4357910156,3179.7436523438,3178.4614257813,3174.4870605469,3174.6154785156,3176.0256347656,3190.1281738281,3237.9487304688,4146.4101562500,3178.3332519531,3187.0512695313,,,
0.2968750000,1,3182.5642089844,3182.3076171875,3178.9743652344,3187.8205566406,3176.4101562500,3175.8974609375,3173.4614257813,3175.2563476563,3175.7692871094,3187.5642089844,3241.7949218750,4150.1284179688,3184.1025390625,3190.8974609375,,,
0.3046875000,1,3178.9743652344,3184.4870605469,3191.1538085938,3191.7949218750,3180.0000000000,3179.8718261719,3174.3588867188,3173.4614257813,3178.7180175781,3185.1281738281,3238.5898437500,4155.0000000000,3171.6667480469,3179.6154785156,,,
0.3125000000,1,3190.3845214844,3189.1025390625,3178.4614257813,3185.1281738281,3178.0769042969,3180.7692871094,3172.3076171875,3176.7949218750,3178.5898437500,3187.5642089844,3240.7692871094,4150.3847656250,3190.7692871094,3196.1538085938,,,
0.3203125000,1,3185.6411132813,3181.9230957031,3194.4870605469,3190.1281738281,3181.1538085938,3180.2563476563,3171.4101562500,3178.0769042969,3175.6411132813,3187.1794433594,3243.4614257813,4153.2050781250,3181.9230957031,3187.3076171875,,,
0.3281250000,1,3187.5642089844,3188.0769042969,3184.8718261719,3192.5642089844,3184.1025390625,3182.8205566406,3173.7180175781,3176.7949218750,3180.7692871094,3188.8461914063,3244.1025390625,4153.8461914063,3184.7436523438,3192.3076171875,,,
0.3359375000,1,3190.7692871094,3192.3076171875,3179.4870605469,3192.5642089844,3183.2050781250,3178.7180175781,3173.8461914063,3179.3588867188,3182.0512695313,3189.4870605469,3246.1538085938,4153.5898437500,3192.9487304688,3198.5898437500,,,
0.3437500000,1,3189.2307128906,3188.3332519531,3197.6923828125,3198.7180175781,3186.6667480469,3180.2563476563,3175.3845214844,3182.5642089844,3180.5129394531,3187.1794433594,3246.1538085938,4157.0512695313,3180.1281738281,3184.8718261719,,,
